time, lat [deg], lng [deg], alt [m]
2015-11-14 08:30:50,39.516300,-77.540194,12041.733600
2015-11-14 08:31:06,39.520285,-77.414290,13897.660800
2015-11-14 08:31:40,39.516862,-77.507390,12502.591200
2015-11-14 08:32:20,39.521886,-77.381024,14259.763200
2015-11-14 08:32:24,39.520285,-77.414290,13897.660800
2015-11-14 08:33:16,39.521886,-77.381024,14259.763200
2015-11-14 08:33:34,39.524800,-77.346046,14620.646400
2015-11-14 08:33:36,39.520285,-77.414290,13897.660800
2015-11-14 08:34:00,39.521886,-77.381024,14259.763200
2015-11-14 08:34:48,39.525330,-77.313861,15121.737600
2015-11-14 08:34:53,39.521886,-77.381024,14259.763200
2015-11-14 08:34:59,39.524800,-77.346046,14620.646400
2015-11-14 08:36:01,39.525330,-77.313861,15121.737600
2015-11-14 08:36:02,39.530061,-77.288177,15642.640800
2015-11-14 08:36:05,39.520285,-77.414290,13897.660800
2015-11-14 08:37:16,39.534487,-77.263101,16066.617600
2015-11-14 08:37:20,39.521886,-77.381024,14259.763200
2015-11-14 08:38:30,39.535616,-77.239023,16539.667200
2015-11-14 08:39:44,39.537201,-77.221424,17058.741600
2015-11-14 08:40:23,39.530061,-77.288177,15642.640800
2015-11-14 08:40:23,39.537201,-77.221424,17058.741600
2015-11-14 08:40:43,39.520285,-77.414290,13897.660800
2015-11-14 08:40:44,39.521886,-77.381024,14259.763200
2015-11-14 08:40:54,39.530061,-77.288177,15642.640800
2015-11-14 08:40:58,39.539832,-77.207080,17501.616000
2015-11-14 08:41:16,39.537201,-77.221424,17058.741600
2015-11-14 08:41:40,39.534487,-77.263101,16066.617600
2015-11-14 08:42:12,39.541853,-77.191843,17924.678400
2015-11-14 08:43:02,39.541853,-77.191843,17924.678400
2015-11-14 08:43:26,39.547198,-77.173183,18372.734400
2015-11-14 08:44:37,39.530061,-77.288177,15642.640800
2015-11-14 08:44:40,39.550968,-77.154271,18779.642400
2015-11-14 08:45:30,39.547198,-77.173183,18372.734400
2015-11-14 08:45:54,39.550564,-77.136242,19133.515200
2015-11-14 08:46:06,39.530061,-77.288177,15642.640800
2015-11-14 08:46:41,39.547198,-77.173183,18372.734400
2015-11-14 08:47:04,39.550564,-77.136242,19133.515200
2015-11-14 08:47:11,39.535616,-77.239023,16539.667200
2015-11-14 08:47:25,39.539832,-77.207080,17501.616000
2015-11-14 08:48:22,39.554171,-77.119630,20222.565600
